30125478-                 Garcia Manuel-4:12:35
28934561-                   Lopez Maria-3:45:18
35672190-               Rodriguez Pablo-5:1:42
41258903-               Fernandez Laura-3:45:18
33789012-                 Martinez Juan-4:33:51
27456389-                  Gonzalez Ana-3:22:14
38901245-                Perez Santiago-4:12:35
42567834-                   Diaz Romina-5:15:3
31234567-                Sanchez Carlos-3:22:14
36890123-              Torres Valentina-4:33:51
29345678-                 Ramirez Diego-3:45:18
40123456-                Herrera Camila-4:28:11
